,Year,Week,Team,TeamName,Opponent,Score,Opp_Score,Result
178,2010,3,KERN,Back to Back Champs,MEADE,110.0,65.0,W
179,2010,3,MEADE,Team Meade,KERN,65.0,110.0,L
180,2010,3,DUKE,Team Duke,KLENK,55.0,85.0,L
181,2010,3,KLENK,Go Buckeyes,DUKE,85.0,55.0,W
182,2010,3,TEPE,Team tepe,MITCH,57.0,127.0,L
183,2010,3,MITCH,Team schoener,TEPE,127.0,57.0,W
184,2010,3,KEVIN,Team spurlock,TIERNAN,105.0,63.0,W
185,2010,3,TIERNAN,I SUCK at Fantasyfootball,KEVIN,63.0,105.0,L
186,2010,4,HAMM,The Bengals Are Awful,TIERNAN,105.0,50.0,W
187,2010,4,TIERNAN,I SUCK at Fantasyfootball,HAMM,50.0,105.0,L
188,2010,4,TEPE,Team tepe,PETERS,47.0,78.0,L
189,2010,4,PETERS,Team 3,TEPE,78.0,47.0,W
190,2010,4,DUKE,Team Duke,CRAIG,87.0,62.0,W
191,2010,4,CRAIG,Michael Vick Is Amazing,DUKE,62.0,87.0,L
192,2010,4,KERN,Back to Back Champs,KLENK,83.0,81.0,W
193,2010,4,KLENK,Go Buckeyes,KERN,81.0,83.0,L
194,2010,4,MEADE,Team Meade,MITCH,55.0,81.0,L
195,2010,4,MITCH,Team schoener,MEADE,81.0,55.0,W
196,2010,4,LOTH,The Hungry Sharks,KEVIN,63.0,69.0,L
197,2010,4,KEVIN,Team spurlock,LOTH,69.0,63.0,W
198,2010,5,LOTH,The Hungry Sharks,HAMM,95.0,85.0,W
199,2010,5,HAMM,The Bengals Are Awful,LOTH,85.0,95.0,L
200,2010,5,TEPE,Team tepe,MEADE,91.0,107.0,L
201,2010,5,MEADE,Team Meade,TEPE,107.0,91.0,W
202,2010,5,CRAIG,Michael Vick Is Amazing,KLENK,82.0,56.0,W
203,2010,5,KLENK,Go Buckeyes,CRAIG,56.0,82.0,L
204,2010,5,MITCH,Team schoener,TIERNAN,86.0,65.0,W
205,2010,5,TIERNAN,I SUCK at Fantasyfootball,MITCH,65.0,86.0,L
206,2010,5,KEVIN,Team spurlock,KERN,49.0,88.0,L
207,2010,5,KERN,Back to Back Champs,KEVIN,88.0,49.0,W
208,2010,5,PETERS,Team 3,DUKE,90.0,73.0,W
209,2010,5,DUKE,Team Duke,PETERS,73.0,90.0,L
210,2010,6,MEADE,Team Meade,LOTH,79.0,103.0,L
211,2010,6,LOTH,The Hungry Sharks,MEADE,103.0,79.0,W
212,2010,6,TEPE,Team tepe,TIERNAN,45.0,68.0,L
213,2010,6,TIERNAN,I SUCK at Fantasyfootball,TEPE,68.0,45.0,W
214,2010,6,KLENK,Go Buckeyes,PETERS,102.0,88.0,W
215,2010,6,PETERS,Team 3,KLENK,88.0,102.0,L
216,2010,6,MITCH,Team schoener,HAMM,75.0,97.0,L
217,2010,6,HAMM,The Bengals Are Awful,MITCH,97.0,75.0,W
218,2010,6,KEVIN,Team spurlock,CRAIG,76.0,95.0,L
219,2010,6,CRAIG,Michael Vick Is Amazing,KEVIN,95.0,76.0,W
220,2010,6,KERN,Back to Back Champs,DUKE,71.0,92.0,L
221,2010,6,DUKE,Team Duke,KERN,92.0,71.0,W
222,2010,7,KEVIN,Team spurlock,HAMM,70.0,122.0,L
223,2010,7,HAMM,The Bengals Are Awful,KEVIN,122.0,70.0,W
224,2010,7,LOTH,The Hungry Sharks,TIERNAN,86.0,43.0,W
225,2010,7,TIERNAN,I SUCK at Fantasyfootball,LOTH,43.0,86.0,L
226,2010,7,KLENK,Go Buckeyes,TEPE,43.0,87.0,L
227,2010,7,TEPE,Team tepe,KLENK,87.0,43.0,W
228,2010,7,KERN,Back to Back Champs,CRAIG,66.0,114.0,L
229,2010,7,CRAIG,Michael Vick Is Amazing,KERN,114.0,66.0,W
230,2010,7,MITCH,Team schoener,PETERS,128.0,76.0,W
231,2010,7,PETERS,Team 3,MITCH,76.0,128.0,L
232,2010,7,MEADE,Team Meade,DUKE,118.0,12.0,W
233,2010,7,DUKE,Team Duke,MEADE,12.0,118.0,L
234,2010,8,HAMM,The Bengals Are Awful,KERN,84.0,74.0,W
235,2010,8,KERN,Back to Back Champs,HAMM,74.0,84.0,L
236,2010,8,KLENK,Go Buckeyes,MEADE,38.0,96.0,L
237,2010,8,MEADE,Team Meade,KLENK,96.0,38.0,W
238,2010,8,PETERS,Team 3,KEVIN,73.0,27.0,W
239,2010,8,KEVIN,Team spurlock,PETERS,27.0,73.0,L
240,2010,8,MITCH,Team schoener,LOTH,71.0,62.0,W
241,2010,8,LOTH,The Hungry Sharks,MITCH,62.0,71.0,L
242,2010,8,DUKE,Team Duke,TIERNAN,66.0,15.0,W
243,2010,8,TIERNAN,I SUCK at Fantasyfootball,DUKE,15.0,66.0,L
244,2010,8,CRAIG,Michael Vick Is Amazing,TEPE,103.0,35.0,W
245,2010,8,TEPE,Team tepe,CRAIG,35.0,103.0,L
246,2010,9,KLENK,Go Buckeyes,HAMM,48.0,102.0,L
247,2010,9,HAMM,The Bengals Are Awful,KLENK,102.0,48.0,W
248,2010,9,MITCH,Team schoener,CRAIG,53.0,95.0,L
249,2010,9,CRAIG,Michael Vick Is Amazing,MITCH,95.0,53.0,W
250,2010,9,LOTH,The Hungry Sharks,DUKE,126.0,55.0,W
251,2010,9,DUKE,Team Duke,LOTH,55.0,126.0,L
252,2010,9,KEVIN,Team spurlock,MEADE,58.0,69.0,L
253,2010,9,MEADE,Team Meade,KEVIN,69.0,58.0,W
254,2010,9,TEPE,Team tepe,KERN,90.0,55.0,W
255,2010,9,KERN,Back to Back Champs,TEPE,55.0,90.0,L
256,2010,9,TIERNAN,I SUCK at Fantasyfootball,PETERS,66.0,95.0,L
257,2010,9,PETERS,Team 3,TIERNAN,95.0,66.0,W
258,2010,10,HAMM,The Bengals Are Awful,DUKE,106.0,51.0,W
259,2010,10,DUKE,Team Duke,HAMM,51.0,106.0,L
260,2010,10,TIERNAN,I SUCK at Fantasyfootball,CRAIG,79.0,158.0,L
261,2010,10,CRAIG,Michael Vick Is Amazing,TIERNAN,158.0,79.0,W
262,2010,10,PETERS,Team 3,MEADE,31.0,79.0,L
263,2010,10,MEADE,Team Meade,PETERS,79.0,31.0,W
264,2010,10,KEVIN,Team spurlock,KLENK,29.0,62.0,L
265,2010,10,KLENK,Go Buckeyes,KEVIN,62.0,29.0,W
266,2010,10,TEPE,Team tepe,LOTH,87.0,99.0,L
267,2010,10,LOTH,The Hungry Sharks,TEPE,99.0,87.0,W
268,2010,10,MITCH,Team schoener,KERN,49.0,51.0,L
269,2010,10,KERN,Back to Back Champs,MITCH,51.0,49.0,W
270,2010,11,CRAIG,Michael Vick Is Amazing,MEADE,74.0,129.0,L
271,2010,11,MEADE,Team Meade,CRAIG,129.0,74.0,W
272,2010,11,KLENK,Go Buckeyes,MITCH,81.0,76.0,W
273,2010,11,MITCH,Team schoener,KLENK,76.0,81.0,L
274,2010,11,KERN,Back to Back Champs,TIERNAN,79.0,56.0,W
275,2010,11,TIERNAN,I SUCK at Fantasyfootball,KERN,56.0,79.0,L
276,2010,11,LOTH,The Hungry Sharks,PETERS,138.0,58.0,W
277,2010,11,PETERS,Team 3,LOTH,58.0,138.0,L
278,2010,11,DUKE,Team Duke,KEVIN,92.0,92.0,D
279,2010,11,KEVIN,Team spurlock,DUKE,92.0,92.0,D
280,2010,11,HAMM,The Bengals Are Awful,TEPE,137.0,68.0,W
281,2010,11,TEPE,Team tepe,HAMM,68.0,137.0,L
282,2010,12,HAMM,The Bengals Are Awful,PETERS,105.0,42.0,W
283,2010,12,PETERS,Team 3,HAMM,42.0,105.0,L
284,2010,12,LOTH,The Hungry Sharks,CRAIG,93.0,119.0,L
285,2010,12,CRAIG,Michael Vick Is Amazing,LOTH,119.0,93.0,W
286,2010,12,MEADE,Team Meade,KERN,99.0,97.0,W
287,2010,12,KERN,Back to Back Champs,MEADE,97.0,99.0,L
288,2010,12,TIERNAN,I SUCK at Fantasyfootball,KLENK,81.0,85.0,L
289,2010,12,KLENK,Go Buckeyes,TIERNAN,85.0,81.0,W
290,2010,12,MITCH,Team schoener,DUKE,47.0,56.0,L
291,2010,12,DUKE,Team Duke,MITCH,56.0,47.0,W
292,2010,12,KEVIN,Team spurlock,TEPE,102.0,69.0,W
293,2010,12,TEPE,Team tepe,KEVIN,69.0,102.0,L
294,2010,13,TIERNAN,I SUCK at Fantasyfootball,HAMM,40.0,83.0,L
295,2010,13,HAMM,The Bengals Are Awful,TIERNAN,83.0,40.0,W
296,2010,13,PETERS,Team 3,LOTH,96.0,83.0,W
297,2010,13,LOTH,The Hungry Sharks,PETERS,83.0,96.0,L
298,2010,13,CRAIG,Michael Vick Is Amazing,MEADE,105.0,119.0,L
299,2010,13,MEADE,Team Meade,CRAIG,119.0,105.0,W
300,2010,13,KLENK,Go Buckeyes,KERN,59.0,66.0,L
301,2010,13,KERN,Back to Back Champs,KLENK,66.0,59.0,W
302,2010,13,TEPE,Team tepe,MITCH,51.0,67.0,L
303,2010,13,MITCH,Team schoener,TEPE,67.0,51.0,W
304,2010,13,DUKE,Team Duke,KEVIN,102.0,102.0,D
305,2010,13,KEVIN,Team spurlock,DUKE,102.0,102.0,D
306,2010,14,HAMM,The Bengals Are Awful,CRAIG,84.0,95.0,L
307,2010,14,CRAIG,Michael Vick Is Amazing,HAMM,95.0,84.0,W
308,2010,14,PETERS,Team 3,TIERNAN,65.0,42.0,W
309,2010,14,TIERNAN,I SUCK at Fantasyfootball,PETERS,42.0,65.0,L
310,2010,14,KERN,Back to Back Champs,MEADE,66.0,98.0,L
311,2010,14,MEADE,Team Meade,KERN,98.0,66.0,W
