Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
HAMM,2019,4,116.70,110.1,W,ERIC,1,0,0
HAMM,2019,5,110.80,139.1,L,MURPH,0,1,0
HAMM,2019,6,115.10,125.4,L,RYAN,0,1,0
HAMM,2019,7,129.30,112.3,W,BISCH,1,0,0
HAMM,2019,8,119.10,68.4,W,LOTH,1,0,0
HAMM,2019,9,127.00,90.5,W,COLLIN,1,0,0
HAMM,2019,10,140.70,116.5,W,FIELER,1,0,0
HAMM,2019,11,126.80,116.4,W,DUKE,1,0,0
HAMM,2019,12,116.70,111.6,W,CAP,1,0,0
HAMM,2019,13,127.40,97,W,JAMES,1,0,0
HAMM,2019,14,130.90,111,W,CAP,1,0,0
HAMM,2019,15,176.80,106.6,W,FIELER,1,0,0
HAMM,2019,16,109.50,123.1,L,DUKE,0,1,0
CRAIG,2019,1,100.50,115.4,L,FIELER,0,1,0
CRAIG,2019,2,110.40,82,W,DUKE,1,0,0
CRAIG,2019,3,85.70,109.9,L,HAMM,0,1,0
CRAIG,2019,4,106.30,63.9,W,JAMES,1,0,0
CRAIG,2019,5,116.10,90.2,W,CAP,1,0,0
CRAIG,2019,6,115.00,84.3,W,ERIC,1,0,0
CRAIG,2019,7,84.00,121.6,L,MURPH,0,1,0
CRAIG,2019,8,113.10,143.7,L,RYAN,0,1,0
CRAIG,2019,9,99.70,113.8,L,BISCH,0,1,0
CRAIG,2019,10,114.10,120.8,L,LOTH,0,1,0
CRAIG,2019,11,97.10,98.4,L,COLLIN,0,1,0
CRAIG,2019,12,80.30,110.2,L,FIELER,0,1,0
CRAIG,2019,13,106.20,65,W,DUKE,1,0,0
CRAIG,2019,14,121.70,120.1,W,LOTH,1,0,0
CRAIG,2019,15,143.00,81.4,W,COLLIN,1,0,0
CRAIG,2019,16,112.20,89.5,W,JAMES,1,0,0
LOTH,2019,1,127.60,104.8,W,MURPH,1,0,0
LOTH,2019,2,100.40,76.2,W,RYAN,1,0,0
LOTH,2019,3,94.90,142.9,L,BISCH,0,1,0
LOTH,2019,4,108.30,136.4,L,CAP,0,1,0
LOTH,2019,5,133.60,93.2,W,COLLIN,1,0,0
LOTH,2019,6,89.70,95.5,L,FIELER,0,1,0
LOTH,2019,7,113.70,106.3,W,DUKE,1,0,0
LOTH,2019,8,68.40,119.1,L,HAMM,0,1,0
LOTH,2019,9,113.60,117.2,L,JAMES,0,1,0
LOTH,2019,10,120.80,114.1,W,CRAIG,1,0,0
LOTH,2019,11,92.80,101.9,L,ERIC,0,1,0
LOTH,2019,12,82.10,122.9,L,MURPH,0,1,0
LOTH,2019,13,106.00,123,L,RYAN,0,1,0
LOTH,2019,14,120.10,121.7,L,CRAIG,0,1,0
LOTH,2019,15,72.20,88,L,JAMES,0,1,0
LOTH,2019,16,101.70,74,W,COLLIN,1,0,0
MURPH,2019,1,104.80,127.6,L,LOTH,0,1,0
MURPH,2019,2,105.50,75.9,W,COLLIN,1,0,0
MURPH,2019,3,142.10,84.9,W,FIELER,1,0,0
MURPH,2019,4,103.20,114,L,DUKE,0,1,0
MURPH,2019,5,139.10,110.8,W,HAMM,1,0,0
MURPH,2019,6,124.30,91.1,W,JAMES,1,0,0
MURPH,2019,7,121.60,84,W,CRAIG,1,0,0
MURPH,2019,8,118.20,99.4,W,ERIC,1,0,0
MURPH,2019,9,69.60,100.9,L,CAP,0,1,0
MURPH,2019,10,106.40,99.8,W,RYAN,1,0,0
MURPH,2019,11,141.70,102.3,W,BISCH,1,0,0
MURPH,2019,12,122.90,82.1,W,LOTH,1,0,0
MURPH,2019,13,86.60,82.5,W,COLLIN,1,0,0
MURPH,2019,14,72.60,112.9,L,ERIC,0,1,0
MURPH,2019,15,92.80,145.1,L,RYAN,0,1,0
MURPH,2019,16,107.00,80.8,W,BISCH,1,0,0
FIELER,2019,1,115.40,100.5,W,CRAIG,1,0,0
FIELER,2019,2,78.40,113.4,L,ERIC,0,1,0
FIELER,2019,3,84.90,142.1,L,MURPH,0,1,0
FIELER,2019,4,99.50,110.5,L,RYAN,0,1,0
FIELER,2019,5,128.10,132,L,BISCH,0,1,0
FIELER,2019,6,95.50,89.7,W,LOTH,1,0,0
FIELER,2019,7,89.00,83.8,W,COLLIN,1,0,0
FIELER,2019,8,124.10,119.7,W,CAP,1,0,0
FIELER,2019,9,111.10,158.4,L,DUKE,0,1,0
FIELER,2019,10,116.50,140.7,L,HAMM,0,1,0
FIELER,2019,11,122.60,90.4,W,JAMES,1,0,0
FIELER,2019,12,110.20,80.3,W,CRAIG,1,0,0
FIELER,2019,13,138.70,106.6,W,ERIC,1,0,0
FIELER,2019,14,92.00,85.3,W,BISCH,1,0,0
FIELER,2019,15,106.60,176.8,L,HAMM,0,1,0
FIELER,2019,16,90.30,120.6,L,ERIC,0,1,0
ERIC,2019,1,132.00,106,W,COLLIN,1,0,0
ERIC,2019,2,113.40,78.4,W,FIELER,1,0,0
ERIC,2019,3,110.10,160.6,L,DUKE,0,1,0
ERIC,2019,4,110.10,116.7,L,HAMM,0,1,0
ERIC,2019,5,112.20,102.2,W,JAMES,1,0,0
ERIC,2019,6,84.30,115,L,CRAIG,0,1,0
ERIC,2019,7,105.50,117.5,L,CAP,0,1,0
ERIC,2019,8,99.40,118.2,L,MURPH,0,1,0
ERIC,2019,9,91.00,129.9,L,RYAN,0,1,0
ERIC,2019,10,126.20,84.5,W,BISCH,1,0,0
ERIC,2019,11,101.90,92.8,W,LOTH,1,0,0
ERIC,2019,12,107.90,85.6,W,COLLIN,1,0,0
ERIC,2019,13,106.60,138.7,L,FIELER,0,1,0
ERIC,2019,14,112.90,72.6,W,MURPH,1,0,0
